SequencingID	SampleID	Plant	ShortDate	Date	Year	Period
16SAMP-1540	Avedøre2006-02	Avedøre	2006-02	04-02-2006	2006	Winter
16SAMP-1574	Avedøre2006-08A	Avedøre	2006-08	19-08-2006	2006	Summer
16SAMP-2111	Avedøre2006-08B	Avedøre	2006-08	19-08-2006	2006	Summer
16SAMP-2003	Avedøre2006-08C	Avedøre	2006-08	19-08-2006	2006	Summer
16SAMP-1940	Avedøre2008-02	Avedøre	2008-02	04-02-2008	2008	Winter
16SAMP-1868	Avedøre2009-02A	Avedøre	2009-02	04-02-2009	2009	Winter
16SAMP-2030	Avedøre2009-02B	Avedøre	2009-02	04-02-2009	2009	Winter
16SAMP-1891	Avedøre2009-08A	Avedøre	2009-08	19-08-2009	2009	Summer
16SAMP-2053	Avedøre2009-08B	Avedøre	2009-08	19-08-2009	2009	Summer
16SAMP-2316	Avedøre2010-02	Avedøre	2010-02	04-02-2010	2010	Winter
16SAMP-2334	Avedøre2010-08	Avedøre	2010-08	19-08-2010	2010	Summer
16SAMP-702	Bjergmarken2006-02	Bjergmarken	2006-02	04-02-2006	2006	Winter
16SAMP-269	Bjergmarken2006-05	Bjergmarken	2006-05	06-05-2006	2006	Spring
16SAMP-270	Bjergmarken2006-08	Bjergmarken	2006-08	19-08-2006	2006	Summer
16SAMP-271	Bjergmarken2006-10	Bjergmarken	2006-10	28-10-2006	2006	Fall
16SAMP-288	Bjergmarken2007-02	Bjergmarken	2007-02	04-02-2007	2007	Winter
16SAMP-289	Bjergmarken2007-05A	Bjergmarken	2007-05	06-05-2007	2007	Spring
16SAMP-2621	Bjergmarken2007-05B	Bjergmarken	2007-05	06-05-2007	2007	Spring
16SAMP-3018	Bjergmarken2007-05C	Bjergmarken	2007-05	06-05-2007	2007	Spring
16SAMP-290	Bjergmarken2007-08A	Bjergmarken	2007-08	19-08-2007	2007	Summer
16SAMP-2622	Bjergmarken2007-08B	Bjergmarken	2007-08	19-08-2007	2007	Summer
16SAMP-3019	Bjergmarken2007-08C	Bjergmarken	2007-08	19-08-2007	2007	Summer
16SAMP-291	Bjergmarken2007-10A	Bjergmarken	2007-10	28-10-2007	2007	Fall
16SAMP-2623	Bjergmarken2007-10B	Bjergmarken	2007-10	28-10-2007	2007	Fall
16SAMP-3020	Bjergmarken2007-10C	Bjergmarken	2007-10	28-10-2007	2007	Fall
16SAMP-308	Bjergmarken2008-02	Bjergmarken	2008-02	04-02-2008	2008	Winter
16SAMP-309	Bjergmarken2008-05	Bjergmarken	2008-05	06-05-2008	2008	Spring
16SAMP-310	Bjergmarken2008-08A	Bjergmarken	2008-08	19-08-2008	2008	Summer
16SAMP-2632	Bjergmarken2008-08B	Bjergmarken	2008-08	19-08-2008	2008	Summer
16SAMP-3029	Bjergmarken2008-08C	Bjergmarken	2008-08	19-08-2008	2008	Summer
16SAMP-311	Bjergmarken2008-10	Bjergmarken	2008-10	28-10-2008	2008	Fall
16SAMP-501	Bjergmarken2009-02	Bjergmarken	2009-02	04-02-2009	2009	Winter
16SAMP-502	Bjergmarken2009-05	Bjergmarken	2009-05	06-05-2009	2009	Spring
16SAMP-503	Bjergmarken2009-08	Bjergmarken	2009-08	19-08-2009	2009	Summer
16SAMP-504	Bjergmarken2009-10	Bjergmarken	2009-10	28-10-2009	2009	Fall
16SAMP-518	Bjergmarken2010-02	Bjergmarken	2010-02	04-02-2010	2010	Winter
16SAMP-519	Bjergmarken2010-05	Bjergmarken	2010-05	06-05-2010	2010	Spring
16SAMP-520	Bjergmarken2010-08	Bjergmarken	2010-08	19-08-2010	2010	Summer
16SAMP-521	Bjergmarken2010-10	Bjergmarken	2010-10	28-10-2010	2010	Fall
16SAMP-539	Bjergmarken2011-02	Bjergmarken	2011-02	04-02-2011	2011	Winter
